mes_any,mes,any,be,codi_be,sub_be,codi_sub,export,import
04/2020,4,2020,Béns de consum,BCO,Altres béns de consum,ACO,536.9,778.3
03/2020,3,2020,Béns de consum,BCO,Altres béns de consum,ACO,1273.9,1620.4
02/2020,2,2020,Béns de consum,BCO,Altres béns de consum,ACO,1597.1,2137.5
01/2020,1,2020,Béns de consum,BCO,Altres béns de consum,ACO,1598.8,2066.6
12/2019,12,2019,Béns de consum,BCO,Altres béns de consum,ACO,1431.6,1949.5
11/2019,11,2019,Béns de consum,BCO,Altres béns de consum,ACO,1645.1,2065.3
10/2019,10,2019,Béns de consum,BCO,Altres béns de consum,ACO,2002.8,2252.2
09/2019,9,2019,Béns de consum,BCO,Altres béns de consum,ACO,1677,2213.9
08/2019,8,2019,Béns de consum,BCO,Altres béns de consum,ACO,1046.1,1984.7
07/2019,7,2019,Béns de consum,BCO,Altres béns de consum,ACO,1915.9,2111.9
06/2019,6,2019,Béns de consum,BCO,Altres béns de consum,ACO,1641,2025.9
05/2019,5,2019,Béns de consum,BCO,Altres béns de consum,ACO,1715.4,2261.9
04/2019,4,2019,Béns de consum,BCO,Altres béns de consum,ACO,1735.2,2145.6
03/2019,3,2019,Béns de consum,BCO,Altres béns de consum,ACO,1786.2,2307.7
02/2019,2,2019,Béns de consum,BCO,Altres béns de consum,ACO,1580.7,2188.1
01/2019,1,2019,Béns de consum,BCO,Altres béns de consum,ACO,1508.3,2176.5
12/2018,12,2018,Béns de consum,BCO,Altres béns de consum,ACO,1405.5,2057.5
11/2018,11,2018,Béns de consum,BCO,Altres béns de consum,ACO,1704,2276.1
10/2018,10,2018,Béns de consum,BCO,Altres béns de consum,ACO,1719.5,2327.3
09/2018,9,2018,Béns de consum,BCO,Altres béns de consum,ACO,1395.8,1974.2
08/2018,8,2018,Béns de consum,BCO,Altres béns de consum,ACO,1157.6,1834.7
07/2018,7,2018,Béns de consum,BCO,Altres béns de consum,ACO,1610.4,2206.2
06/2018,6,2018,Béns de consum,BCO,Altres béns de consum,ACO,1634.9,2104.8
05/2018,5,2018,Béns de consum,BCO,Altres béns de consum,ACO,1681,2126.4
04/2018,4,2018,Béns de consum,BCO,Altres béns de consum,ACO,1604.3,2036.8
03/2018,3,2018,Béns de consum,BCO,Altres béns de consum,ACO,1813.8,2040.4
02/2018,2,2018,Béns de consum,BCO,Altres béns de consum,ACO,1494.3,1995.2
01/2018,1,2018,Béns de consum,BCO,Altres béns de consum,ACO,1456.5,2056.2
12/2017,12,2017,Béns de consum,BCO,Altres béns de consum,ACO,1432.7,1860.8
11/2017,11,2017,Béns de consum,BCO,Altres béns de consum,ACO,1894.7,2211.5
10/2017,10,2017,Béns de consum,BCO,Altres béns de consum,ACO,1701.3,2190.4
09/2017,9,2017,Béns de consum,BCO,Altres béns de consum,ACO,1578.4,2106.8
08/2017,8,2017,Béns de consum,BCO,Altres béns de consum,ACO,1171.4,1859.4
07/2017,7,2017,Béns de consum,BCO,Altres béns de consum,ACO,1652.2,1839.8
06/2017,6,2017,Béns de consum,BCO,Altres béns de consum,ACO,1533.5,2010.5
05/2017,5,2017,Béns de consum,BCO,Altres béns de consum,ACO,1581.9,2121.3
04/2017,4,2017,Béns de consum,BCO,Altres béns de consum,ACO,1282.2,1684.4
03/2017,3,2017,Béns de consum,BCO,Altres béns de consum,ACO,1787.1,2131.8
02/2017,2,2017,Béns de consum,BCO,Altres béns de consum,ACO,1472.1,1991.5
01/2017,1,2017,Béns de consum,BCO,Altres béns de consum,ACO,1371.8,1752
12/2016,12,2016,Béns de consum,BCO,Altres béns de consum,ACO,1367.6,1717.3
11/2016,11,2016,Béns de consum,BCO,Altres béns de consum,ACO,1647.9,2051.8
10/2016,10,2016,Béns de consum,BCO,Altres béns de consum,ACO,1651.4,1898
09/2016,9,2016,Béns de consum,BCO,Altres béns de consum,ACO,1610.7,1959.7
08/2016,8,2016,Béns de consum,BCO,Altres béns de consum,ACO,1014.2,1704.2
07/2016,7,2016,Béns de consum,BCO,Altres béns de consum,ACO,1574.5,1684.8
06/2016,6,2016,Béns de consum,BCO,Altres béns de consum,ACO,1525.4,1906
05/2016,5,2016,Béns de consum,BCO,Altres béns de consum,ACO,1467.4,1812.6
04/2016,4,2016,Béns de consum,BCO,Altres béns de consum,ACO,1495.4,1831.3
03/2016,3,2016,Béns de consum,BCO,Altres béns de consum,ACO,1613.2,1966.5
02/2016,2,2016,Béns de consum,BCO,Altres béns de consum,ACO,1495.5,1864.9
01/2016,1,2016,Béns de consum,BCO,Altres béns de consum,ACO,1264.3,1607.7
12/2015,12,2015,Béns de consum,BCO,Altres béns de consum,ACO,1432.2,1668.7
11/2015,11,2015,Béns de consum,BCO,Altres béns de consum,ACO,1472.8,1802.8
10/2015,10,2015,Béns de consum,BCO,Altres béns de consum,ACO,1648,1825.7
09/2015,9,2015,Béns de consum,BCO,Altres béns de consum,ACO,1603,1841
08/2015,8,2015,Béns de consum,BCO,Altres béns de consum,ACO,993.4,1531.2
07/2015,7,2015,Béns de consum,BCO,Altres béns de consum,ACO,1749.8,1786.3
06/2015,6,2015,Béns de consum,BCO,Altres béns de consum,ACO,1543.8,1802.5
05/2015,5,2015,Béns de consum,BCO,Altres béns de consum,ACO,1437.9,1587.4
04/2015,4,2015,Béns de consum,BCO,Altres béns de consum,ACO,1447,1630.6
03/2015,3,2015,Béns de consum,BCO,Altres béns de consum,ACO,1777.5,1821.2
02/2015,2,2015,Béns de consum,BCO,Altres béns de consum,ACO,1483.7,1704.9
01/2015,1,2015,Béns de consum,BCO,Altres béns de consum,ACO,1428.3,1526
12/2014,12,2014,Béns de consum,BCO,Altres béns de consum,ACO,1311.8,1457.2
11/2014,11,2014,Béns de consum,BCO,Altres béns de consum,ACO,1385.5,1452.1
